COUNTRY ISO2 CODE,SWIFT CODE,CODE TYPE,NAME,ADDRESS,TOWN NAME,COUNTRY NAME,TIME ZONE
AL,AAISALTRXXX,BIC11,UNITED BANK OF ALBANIA SH.A,"HYRJA 3 RR. DRITAN HOXHA ND. 11 TIRANA, TIRANA, 1023",TIRANA,ALBANIA,Europe/Tirane
BG,ABIEBGS1XXX,BIC11,ABV INVESTMENTS LTD,"TSAR ASEN 20  VARNA, VARNA, 9002",VARNA,BULGARIA,Europe/Sofia
BG,ADCRBGS1XXX,BIC11,ADAMANT CAPITAL PARTNERS AD,"JAMES BOURCHIER BLVD 76A HILL TOWER SOFIA, SOFIA, 1421",SOFIA,BULGARIA,Europe/Sofia
UY,AFAAUYM1XXX,BIC11,AFINIDAD A.F.A.P.S.A.,"PLAZA INDEPENDENCIA 743  MONTEVIDEO, MONTEVIDEO, 11000",MONTEVIDEO,URUGUAY,America/Montevideo
MC,AGRIMCM1XXX,BIC11,CREDIT AGRICOLE MONACO (CRCA PROVENCE COTE D'AZUR MONACO),"23 BOULEVARD PRINCESSE CHARLOTTE  MONACO, MONACO, 98000",MONACO,MONACO,Europe/Monaco
PL,AIPOPLP1XXX,BIC11,SANTANDER CONSUMER BANK SPOLKA AKCYJNA,"STRZEGOMSKA 42C  WROCLAW, DOLNOSLASKIE, 53-611",WROCLAW,POLAND,Europe/Warsaw
LV,AIZKLV22XXX,BIC11,"ABLV BANK, AS IN LIQUIDATION","MIHAILA TALA STREET 1  RIGA, RIGA, LV-1045",RIGA,LATVIA,Europe/Riga
MT,AKBKMTMTXXX,BIC11,AKBANK T.A.S. (MALTA BRANCH),"FLOOR 6, PORTOMASO BUSINESS TOWER 01 PORTOMASO PTM - ST. JULIAN'S ST. JULIAN'S, STJ 4011",ST. JULIAN'S,MALTA,Europe/Malta
PL,ALBPPLP1BMW,BIC11,ALIOR BANK SPOLKA AKCYJNA,"  WARSZAWA, MAZOWIECKIE",WARSZAWA,POLAND,Europe/Warsaw
PL,ALBPPLPWXXX,BIC11,ALIOR BANK SPOLKA AKCYJNA,"LOPUSZANSKA BUSINESS PARK LOPUSZANSKA 38 D WARSZAWA, MAZOWIECKIE, 02-232",WARSZAWA,POLAND,Europe/Warsaw
